Header	Japanese	Google Translate	Translated	Notes	
0	エンドン……あれから7年がすぎた。⏎きみの事を 思わない日はなかった……⏎エンドン、どうしてる?⏎⏎ぼくは……⏎ぼくを 助けてくれた クリアンさんは⏎なくなってしまった。	"Endon... 7 years have passed since then. ⏎There hasn't been a day that I haven't thought about you... ⏎Endon, how are you doing?⏎⏎I... ⏎Mr. Krian, who saved me, ⏎is gone."	"Endon… ⏎ 
It’s been 7 years。I⏎
think of you every day。⏎
⏎
Crian、the man who⏎
saved me、has passed⏎
away。"		
0	ぼくは アンナと けっこんして⏎かじ屋をひきついだ。⏎アンナは はたらき者で とても良いつまだ。⏎はやく きみに しょうかいしたいよ。⏎⏎そうそう、もうすぐ 子どもが生まれる。⏎ぼくは しあわせ者だ。	"I had a fight with Anna and we grabbed a blacksmith. ⏎Anna is a hard worker and she is a very good student. ⏎She wants to meet you soon. ⏎⏎That's right, a child will be born soon. ⏎I am a happy person."	"I run the blacksmith⏎
now。 Anna and I got⏎
married and are⏎
expecting our first⏎
child soon!"		
0	でも、自分の しあわせを 感じるとき……⏎ぼくは この国の未来と、きみの事を⏎思わずにはいられない……	But when I feel happy...⏎I can't help but think about the future of this country and you...	"Still、I can't help⏎
but worry about you。⏎
And the future of⏎
all of Deltora…"		
22030328	どうしたの?⏎しずんだ顔をして	What's wrong?⏎You look depressed.	"What’s wrong、dear?⏎
You seem upset"	Endon and Sharn are standing in the courtyard. Jarred’s note is still on the tree.	
4d810670	わたしを 育ててくれた うばの⏎ミンが 何者かに 殺されてしまった	"My nanny, ⏎Min, who raised me, was killed by someone."	"My old nursemaid、Min…⏎
She was killed!"		
23030328	まあ、ひどい……⏎さぞ お力おとしでしょう	"Well, that's terrible...⏎Please help me out."	"Oh、how awful!⏎
Let me comfort you…"		
4d810670	ミンは 城の中に うらぎり者が⏎いると言っていた⏸しかし、わたしは 信じなかった……⏎ゆめでも 見たのだろうと思って……⏸ミンが いなくなって 考えた⏸あれは本当だったのでは⏎ないだろうか、と⏸だから、ぜったいに はんにんを⏎つかまえるように 命じた⏸大臣も やくそくしてくれた⏸でも……⏸おそらく 何も していない⏸ミンの事だけじゃない⏸何を命じても 何を聞いても⏎大臣は てきとうな事しか言わない……⏸思えば むかしから そうだった……⏸ジャードは それに 気づかせようと⏎してくれたのかもしれない……	"Min said there was a thief in the castle⏎But I didn't believe it...⏎I thought I had seen it in a dream...⏸After Min disappeared, I thought⏸That was true. I wondered if he had done anything, so I ordered him to grab Han-nin. The minister was also reluctant, but... he probably didn't do anything. It was just about Min. No, no matter what he orders or what he asks, the minister only says the right things... Come to think of it, it's been like that for a long time... Maybe Jard was trying to make him realize that. do not have……"	"Min said there was a⏎
traitor in the palace⏸
I didn’t believe her。⏎
I thought she must’ve⏸
fallen asleep working⏎
and dreamt it。⏸
Now I fear she may⏎
have been right。⏸
I’ve ordered the⏎
guards to look for a⏸
traitor、but… it’s⏎
probably pointless。⏸
…⏸
No、I’m not just⏎
upset about Min。⏸
No matter what I do、⏎
the advisors have⏸
the real power here。⏎
And it’s been like⏸
that for as long as⏎
I can remember。⏸
Jarred…⏸
Jarred tried to⏎
make me see。"	"Thanks for the exposition, Endon."	
23030328	ジャードとは だれですか?	Who is Jard?	"Jarred?⏎
Who’s that?"		
4d810670	わたしの親友さ。⏎彼の事を忘れたことはない	You're my best friend. ⏎I have never forgotten about him	"My old friend。⏎
I’ll never forget him"		
23030328	まあ、すごい風!	"Well, what a wind!"	Oh、the wind!	The wind blows Jarred’s note down.	
4d810670	おなかの赤んぼうが⏎カゼをひいてしまう⏸中へ入ろう	The baby in my stomach is catching a cold. Let's go inside.	"Let’s go inside。⏎
The future mother⏸
of my child shouldn’t⏎
be out in this cold。"	Endon stops to look at the note.	
500	プランディンには 気をつけろ。⏎ベルトは きみと国を すくう。⏎けして 手ばなすな。⏎⏎ぼくは いつでも きみの味方だ。	Be careful of Prandin. ⏎The belt will take over you and the country. ⏎Don't let go. ⏎⏎He will always be on your side.	"Prandine is evil⏎
The Belt will save us⏎
Be strong⏎
I’ll always be⏎
on your side"	This is unused in the game; the note the player drew is shown instead.	
4d810670	ジャード……ジャード……⏎ぼくは……おろかだった……	Jard...Jard...⏎I was...stupid...	"Jarred… Jarred…⏎
I was such a fool!"		
28810900	おねがいです!⏎助けてください!	Please! ⏎Please help me!	"Help!⏎
Please help me!"	The palace is under attack! A grey guard has a woman trapped.	
28810700	いひひひ、そうだな……今すぐに⏎雨をふらせてみろ	"Ihihihi, that's right...let's make it rain right now."	"Gahaha! It’s pouring⏎
rain!"		
28810700	ならば 助けてやらない事もない	"If that's the case, there's nothing I can do to help you."	Let it rain blood!		
28810900	そんな!	That’s it!	Hyaah!		
47810718	血の雨なら いつでも。⏎おまえの血をかりるけどな	Whenever it rains blood. ⏎I'll take your blood.	"Raining blood? Let’s⏎
start with yours!"	This doesn’t seem to translate directly very well. Needs to be reworked.	
28810700	よ、よくも……	"Yo, well..."	Urk-!		
28010600	………	………	………	Examining dead guard	
28010700	ううう…	Uuuuu...	Ugghhh…	Examining nearly dead guard	
28010600	このっ こいつめ!	"This, this guy!"	Who are these guys!?	Palace guard fighting grey guard	
0					
28010700	グオオオオ	Goooooooo	Rraaargh!	Grey guard fighting palace guard	
0					
0					
4f810670	何者だ!?	Who are you!?	Who’s there!?		
45030718	エンドン……なのか?	Endon...?	Endon… is that you?		
4d810670	……キミは……	...You...	…?		
47030718	ジャード。かじ屋のジャード	Jard. Kajiya's Jard	"Jarred。⏎
Jarred the blacksmith。"		
4f810670	おお、ジャード!	"Oh, Jard!"	Jarred!		
4f810670	ゆるしてくれ!⏎わたしは おろかだった⏸いくら こうかいしても したりない。⏎あの時の きみの言葉を……	"Please forgive me!⏎I was stupid⏸No matter how much I try, I won't do it. ⏎What she said to you back then..."	"Forgive me、Jarred!⏎
I was a fool!⏸
A stubborn fool!⏎
Back then、you knew…"		
45030718	エンドン、もういい⏸きみは無知だったかもしれない。⏎でも、おろかだったわけじゃない	"Endon, that's enough⏸You may have been ignorant. ⏎But I wasn't stupid."	"No、Endon。⏸
You were ignorant、⏎
but not a fool。"		
47030718	さあ、あの日のつづきだ	"Now, let's continue from that day."	"It’s all in the past⏎
anyway"		
4d810670	どうするんだ?	What should I do?	What do we do now?		
45030718	ぼくといっしょに ここから 出よう。⏎しんじつを知るときが 来たようだ	Get out of here with me. ⏎It seems the time has come to know the truth.	"Get out of here with me⏸
It's time for you to⏎
see the truth"		
4e810670	ジャード。⏎今度はきみにまかせるよ	Jard. ⏎I'll leave it to you this time.	"Yes、I trust you、⏎
Jarred"		
23030828	エンドン、その人は……	"Endon, that person..."	Endon? Who is this?		
4e030670	親友のジャードだよ	"This is my best friend, Jard."	"This is my old friend⏎
Jarred"		
22030828	まあ、あなたが……	"Well, you..."	Jarred! You came!		
4d810670	ジャード、わたしの つまだ	"Jard, my pinch"	"Jarred、this⏎
is my wife、Sharn"		
47030718	はじめまして、王妃様	"Nice to meet you, Queen"	"Nice to meet you、⏎
your highness"		
4d810670	見てのとおり、まもなく子どもが⏎生まれてくる	"As you can see, the baby will be born soon."	"As you can see、we’re⏎
expecting a child soon"		
45030718	エンドン! それは すばらしい!⏸実は ぼくも けっこんしたんだ。⏎つまの名はアンナ	"Endon! That's amazing!⏸Actually, I did it too. ⏎My name is Anna"	"That’s great、Endon!⏸
I’m married too! Her⏎
name is Anna"		
47030718	そして ぼくのところも もうすぐ⏎子どもが 生まれる	And my child will be born soon.	"We're expecting a child⏎
soon too"		
4d810670	ジャード。⏎大切なときに……すまない	Jard. ⏎At an important time...I'm sorry	"Jarred…⏎
I’m sorry this is all⏸
happening now…"		
47030718	いや、こんなときで 良かったよ⏸つまり、ぼくは おなかが 大きな⏎女性には なれているって事さ	"Well, I'm glad it happened at a time like this⏸In other words, I have a big belly⏎I'm used to being a woman."	"Well、I’m glad it⏎
happening now!⏸
I know how to handle⏎
pregnant women!"	"Not sure what this is about. A joke, maybe?"	
22810828	まあ、たのもしい!	"Well, it's fun!"	(Ahem!)	Not sure what this response means either	
45030718	さて……ベルトはどこだ?	Now...where's the belt?	"So…⏎
Where's the belt?"		
4d810670	ベルトは……おきてどおりに⏎げんじゅうに ほかんされている	The belt is... as commanded ⏎ Genjui other than that.	"It’s in the tower as⏎
the Rule requires"		
45030718	それじゃあ、そこへ行こう⏸ベルトは きみが身につけて⏎守るべき物だ	"Well then, let's go there ⏸ The belt is something you should wear ⏎ and protect."	"Then let’s go!⏸
The belt should be⏎
worn and kept safe!"		
4f810670	しかし、おきてが!!	"However, the law is!!"	But、the Rule-!		
45030718	それ以上言うと、ぼくは きみを⏎おろか者とよぶぞ	"If you say anything more, I'll call you an idiot."	"Oh、don’t be a fool、⏎
Endon…"	Jarred pauses and looks away quite dramatically before speaking this line	
4d810670	こっちだ	It's this way	This way	Endon and Sharn talk in private for a moment before saying this	
45810718	どうした?	what up?	What’s wrong?		
4d810670	ベルトはあった⏸でも……	I had a belt ⏸ but...	"The belt is here…⏸
But…"		
4d810670	宝石はうばわれてしまった……	The jewels were stolen...	The gems are gone		
46810718	なんという事だ!	Oh my god!	No!		
21810b24	ふはははは!⏸宝石はいただいた。⏎これでベルトは無力⏸まもなく、この国は わたしが⏎おつかえする方の物になる!	"Hahahahaha!⏸I received the jewelry. ⏎Now the belt is powerless⏸Soon, this country will belong to the person I ⏎serve!"	"Hahahahaha!⏸
I stole the gems!⏎
The belt is powerless!⏸
Soon this land will⏎
belong to my master!"	Enter Prandine	
46810718	おまえは王に つかえる身ではないのか!	Aren't you worthy of being a king?	"Your master?⏎
Who do you serve?"	Jarred points his sword at Prandine	
21810b24	おやおや、ジャードではないか。⏎死んだと思っていたが	"Oh, isn't that Jard? ⏎I thought he was dead"	"Ah、Jarred、you have⏎
risen from the dead to⏸
try to interfere once⏎
more!"	"Trying to work in a book quote, more or less"	
46810718	しつもんに こたえろ!	Reply to me!	Answer the question!		
21810b24	わたしが おつかえするのはただひとり⏸いだいなる影の大王様よ!	The only person I serve is the great King of Shadows!	"I serve my master-⏸
the great Shadow Lord!"		
4f810770	なんと……	What...	No…		
21810b24	ついでに言っておくならば……⏸この国の大臣は むかしから⏎影の大王様に おつかえしている⏸この国を ホネぬきにするためなら⏎なんだってするのさ⏸命じられれば 王も殺す	By the way...⏸The minister of this country has been in the service of the Great Shadow King since long ago⏸He will do whatever it takes to rid this country of his bones⏸He will even kill the king if he is ordered to do so.	"Yes! The Chief Advisors⏎
have been serving⏸
the Shadow Lord in⏎
secret for ages!⏸
Slowly robbing the⏎
royal family of power⏸
until you were nothing⏎
but his puppets!"	Changing this to match the book a bit more	
45810718	それじゃあ、先代の王が⏎なくなったのは……	"Well then, the previous king ⏎ disappeared..."	All this time…		
21810b24	気づくのがおそかったな	It was too late to realize	"The poison on my blade⏎
made short work of your⏸
mother and father、King⏎
Endon…"		
4f810670	ゆるさん!	Yuru-san!	You- you traitor!	"After saying this, Endon charges at Prandine and is knocked back by a whip."	
21810b24	さて、さいごの仕上げだ。⏎ねんには ねんをいれないとな⏸ベルトはアディンのしそんが⏎いなくては力をはっきできない⏸つまり……	"Now, the final touch. ⏎I need to put a ton in the belt ⏎The belt is made by Adin ⏎I can't show my strength without it ⏸In other words..."	"Now to finish this!⏸
Only Adin’s heirs can⏎
use the belt’s power"		
21810b24	王と、王妃(おうひ)のおなかの子が……	The king and the queen's unborn child...	"So you and your unborn⏎
brat must die!"		
23030828	あっ!⏎あそこに宝石が おちています!	Ah! ⏎There's a jewel falling over there!	Oh!	I'm not sure why the game makes this so much less interesting than the book. I’m going to try to bring back some of Sharn’s trick if I can.	
21810b24	なんだと!? バカな!	What!? You idiot!	What? What do you see?		
21030b24	どこだ?	Where is it?	"Someone coming to help⏎
you、perhaps? Fool!"		
28010b24	うわーーーーー!	Wow!	Aaaaaah!	Not used. We get a pretty great sound clip of Prandine’s death scream instead.	
45030718	王妃!	princess!	Your highness!		
22030828	だましてやりましたわ	I tricked you.	"Often in the great hall⏎
I have watched little⏸
clowns upset big ones⏎
from below⏸
I did not see why the⏎
trick should not work⏸
for me!"		
4f030670	きみって人は……	Who are you...	You… what?		
47030718	エンドン。きみは すばらしい女性と⏎けっこんしたな	Endon. You married her wonderful woman.	"Endon、you are as⏎
fortunate in your bride⏸
as I am in mine!"		
4e030670	う、うん	"Uh, yeah"	…		
45030718	さあ、こうしてはいられない。⏎ぼくの家へ行こう!	"Now, I can't stay like this. ⏎Let's go to my house!"	"We must hurry!⏎
Quickly、to my shop!"		
4f030670	待ってくれ。⏎それからどうする?	Wait. ⏎What do you do next?	"I cannot just run and⏎
hide!"		
4d030670	ベルトの宝石は うばわれてしまった⏸宝石がないと ベルトは⏎役に立たない	"The jewels on the belt have been stolen⏸Without the jewels, the belt is ⏎useless."	"I must find the gems⏎
And restore the belt!⏸
Without them Deltora⏎
is doomed!"		
45030718	エンドン……宝石を取りもどせば⏎いいだけの話だ⏸もちろん、今すぐには⏎うごけない	"Endon... It's just a matter of getting the jewel back ⏎Of course, I can't move ⏎right now."	"The gems must be found、⏎
but you cannot be the⏸
one to find them、Endon⏸
The Shadow Lord will be⏎
searching for you.⏸
You must stay in hiding⏎
and wait"	Changing this a bit to fit the book.	
45030718	でも、いつか……	But someday...	"If the Shadow Lord can⏎
be patient、so can we"	"This is Sharn’s line in the book, but she’s done talking in the game, so Jarred gets it instead."	
47030718	影の大王の好きにはさせないさ	I won't let the shadow king have his way.	"Years may pass、but⏎
Adin’s heir will wear⏸
the belt again and save⏎
Deltora!"	Sharn does a happy little hop after this line.	
1	16年後	16 years later	16 Years Later		
0	あれから16年。⏎友よ。⏎元気にしているか?	16 years have passed since then. ⏎My friend. ⏎Are you doing well?	"16 Years have⏎
passed since then。⏎
My friend…⏎
Are you doing well?"		
1b810618	いよいよか	Is it finally here?	It’s time		
1c81081c	今日じゃなくても いいじゃないですか。⏎お祝いの日じゃなくても……	It doesn't matter if it's not today. ⏎Even if it's not a day of celebration...	"Does it have to be⏎
today?"	"This translation is clumsy. They’re being vague, so Google isn’t much help."	
1b810618	その話は なんどもしたじゃないか。⏎きみも わかってくれたはずだ	We've talked about that many times. ⏎I'm sure she understood as well.	"We’ve been over this⏎
many times⏸
You know why it must⏎
be this way"		
1c81081c	リーフ……	Leaf...	Lief…		
28010700	王族以外入ってはいけません!!	Only members of the royal family are allowed to enter!!	"Only members of the⏎
Royal family may enter!"	Possibly unused	
0	ふかくてそこが見えない	It's so thick I can't see it	"It’s so thick⏎
I can’t see"	Possibly unused	
